,TractFIPS,TotalPopulation,PercentMale,PercentElderly,PercentWhite,City
98,06037113421.0,6.879,48.7,9.8,31.1,Los Angeles
99,06037113422.0,6.306,51.8,14.2,59.3,Los Angeles
100,06037115101.0,5.083,45.1,22.2,60.9,Los Angeles
101,06037115103.0,3.381,38.9,0.1,48.7,Los Angeles
102,06037115104.0,4.377,48.7,11.0,47.7,Los Angeles
103,06037115201.0,6.647,55.8,10.6,61.1,Los Angeles
104,06037115202.0,5.684,50.3,10.4,47.7,Los Angeles
105,06037115301.0,4.524,55.4,21.6,60.8,Los Angeles
106,06037115302.0,3.957,53.7,10.1,50.4,Los Angeles
107,06037115401.0,6.373,49.5,9.6,59.5,Los Angeles
108,06037115403.0,3.583,49.1,11.1,41.2,Los Angeles
109,06037115404.0,2.8,51.8,10.5,44.4,Los Angeles
110,06037117101.0,5.224,52.3,5.2,17.2,Los Angeles
111,06037117102.0,2.861,51.3,12.7,55.9,Los Angeles
112,06037117201.0,5.191,47.5,12.2,38.9,Los Angeles
113,06037117202.0,2.633,48.9,21.3,48.7,Los Angeles
114,06037117301.0,3.91,43.5,15.4,54.5,Los Angeles
115,06037117302.0,5.229,47.7,18.7,60.1,Los Angeles
116,06037117303.0,3.754,44.9,14.7,49.0,Los Angeles
117,06037117404.0,5.324,48.1,11.3,48.3,Los Angeles
118,06037117405.0,3.574,52.3,3.2,26.6,Los Angeles
119,06037117407.0,3.836,51.1,2.6,19.0,Los Angeles
120,06037117408.0,3.073,51.0,4.8,35.1,Los Angeles
121,06037117510.0,3.687,50.8,6.8,34.4,Los Angeles
122,06037117520.0,4.168,49.1,3.4,23.2,Los Angeles
123,06037117530.0,6.742,48.7,6.4,28.3,Los Angeles
124,06037119001.0,4.435,51.6,13.2,57.2,Los Angeles
125,06037119002.0,7.976,50.9,12.4,61.0,Los Angeles
126,06037119201.0,4.547,47.9,10.8,58.9,Los Angeles
127,06037119202.0,4.759,51.0,12.1,49.9,Los Angeles
128,06037119310.0,4.087,51.2,15.2,41.4,Los Angeles
129,06037119320.0,4.906,48.7,7.7,22.1,Los Angeles
130,06037119340.0,4.264,48.7,3.4,35.1,Los Angeles
131,06037119341.0,2.89,47.5,15.0,29.1,Los Angeles
132,06037119342.0,2.911,51.3,6.9,37.2,Los Angeles
133,06037119400.0,5.499,50.0,11.3,52.9,Los Angeles
134,06037119700.0,4.913,46.3,15.7,58.3,Los Angeles
135,06037119800.0,6.054,47.1,10.7,59.9,Los Angeles
136,06037119900.0,5.245,47.1,12.9,41.3,Los Angeles
137,06037120010.0,2.704,51.3,9.8,32.3,Los Angeles
138,06037120020.0,3.872,51.6,9.9,25.3,Los Angeles
139,06037120030.0,2.666,47.4,9.7,26.0,Los Angeles
140,06037120103.0,3.452,44.7,5.3,28.2,Los Angeles
141,06037120104.0,2.228,53.5,8.4,29.2,Los Angeles
142,06037120105.0,2.832,50.5,15.5,32.4,Los Angeles
143,06037120106.0,4.763,53.5,5.8,34.3,Los Angeles
144,06037120107.0,3.893,54.2,4.5,31.9,Los Angeles
145,06037120108.0,4.732,50.8,8.0,39.0,Los Angeles
146,06037120300.0,5.238,51.3,12.9,33.0,Los Angeles
147,06037120400.0,6.769,43.4,10.8,40.7,Los Angeles
148,06037121010.0,4.934,53.8,15.0,53.0,Los Angeles
149,06037121020.0,3.61,50.3,9.7,65.6,Los Angeles
150,06037121101.0,2.862,49.0,7.7,68.1,Los Angeles
151,06037121102.0,2.479,46.6,17.6,85.8,Los Angeles
152,06037121210.0,2.926,51.8,19.5,54.8,Los Angeles
153,06037121221.0,2.42,51.4,12.4,68.4,Los Angeles
154,06037121222.0,5.139,48.7,8.1,69.1,Los Angeles
155,06037121600.0,2.735,49.8,17.9,58.6,Los Angeles
156,06037121801.0,3.127,51.0,10.5,48.8,Los Angeles
157,06037121802.0,3.216,50.3,12.1,57.0,Los Angeles
158,06037121900.0,3.761,50.2,10.3,72.9,Los Angeles
159,06037122000.0,5.892,48.4,16.1,66.7,Los Angeles
160,06037122120.0,5.011,52.9,10.4,54.0,Los Angeles
161,06037122121.0,2.829,50.0,10.3,69.2,Los Angeles
162,06037122122.0,2.728,48.2,9.8,69.2,Los Angeles
163,06037122200.0,3.469,47.8,10.1,76.0,Los Angeles
164,06037122410.0,3.457,51.7,9.3,60.4,Los Angeles
165,06037122420.0,4.503,53.6,8.3,52.5,Los Angeles
166,06037123010.0,4.027,49.3,9.4,77.4,Los Angeles
167,06037123020.0,3.25,49.2,13.3,63.0,Los Angeles
168,06037123103.0,3.808,46.1,11.6,67.4,Los Angeles
169,06037123104.0,4.416,52.9,13.6,65.2,Los Angeles
170,06037123203.0,4.094,50.3,5.1,59.0,Los Angeles
171,06037123204.0,3.129,50.6,4.0,45.5,Los Angeles
172,06037123205.0,2.492,55.1,7.3,71.6,Los Angeles
173,06037123206.0,2.572,48.7,9.8,64.1,Los Angeles
174,06037123301.0,4.53,46.1,14.7,51.0,Los Angeles
175,06037123303.0,3.087,49.2,11.8,65.4,Los Angeles
176,06037123304.0,4.362,47.5,22.2,69.4,Los Angeles
177,06037123410.0,4.181,48.9,8.2,73.5,Los Angeles
178,06037123420.0,4.408,44.3,10.6,73.5,Los Angeles
179,06037123510.0,4.795,42.1,15.7,55.3,Los Angeles
180,06037123520.0,2.816,52.0,10.7,69.3,Los Angeles
181,06037123601.0,4.803,50.9,15.5,75.5,Los Angeles
182,06037123602.0,3.659,43.2,16.4,70.5,Los Angeles
183,06037123700.0,4.435,50.3,16.7,75.9,Los Angeles
184,06037123800.0,6.018,48.3,13.2,77.4,Los Angeles
185,06037123901.0,4.696,59.2,8.6,52.5,Los Angeles
186,06037123902.0,2.668,48.9,11.1,66.1,Los Angeles
187,06037124000.0,5.219,51.8,16.5,82.7,Los Angeles
188,06037124102.0,3.551,52.0,9.4,68.6,Los Angeles
189,06037124103.0,1.95,50.6,14.5,64.5,Los Angeles
190,06037124104.0,2.492,59.4,8.3,69.0,Los Angeles
191,06037124105.0,2.538,48.8,6.8,67.0,Los Angeles
192,06037124201.0,3.348,47.7,14.2,70.9,Los Angeles
193,06037124203.0,2.384,53.0,11.4,74.4,Los Angeles
194,06037124204.0,2.192,51.9,10.0,71.2,Los Angeles
195,06037124300.0,2.988,49.1,15.2,83.7,Los Angeles
196,06037124400.0,4.858,54.1,13.7,83.7,Los Angeles
197,06037124500.0,2.925,47.4,10.8,71.5,Los Angeles
198,06037124600.0,2.691,47.1,17.5,77.4,Los Angeles
199,06037124700.0,5.539,42.1,16.5,82.7,Los Angeles
200,06037124902.0,2.706,47.7,21.5,71.4,Los Angeles
201,06037124903.0,3.499,49.4,17.0,80.3,Los Angeles
202,06037125100.0,5.892,42.2,15.0,76.7,Los Angeles
203,06037125200.0,3.907,46.8,9.0,76.1,Los Angeles
204,06037125310.0,4.313,53.7,9.5,62.0,Los Angeles
205,06037125320.0,5.106,57.1,14.8,71.3,Los Angeles
206,06037125401.0,4.966,47.9,5.6,62.6,Los Angeles
207,06037125402.0,4.889,50.3,5.5,72.1,Los Angeles
208,06037125501.0,3.052,49.5,7.5,72.5,Los Angeles
209,06037125502.0,3.488,44.7,13.6,73.4,Los Angeles
210,06037125600.0,2.811,53.6,17.7,85.4,Los Angeles
211,06037127102.0,5.779,50.8,6.3,36.2,Los Angeles
212,06037127103.0,3.109,46.2,9.7,43.4,Los Angeles
213,06037127104.0,3.821,44.4,8.6,50.1,Los Angeles
214,06037127210.0,5.838,52.0,7.9,37.3,Los Angeles
215,06037127220.0,5.045,50.6,13.9,47.4,Los Angeles
216,06037127300.0,3.809,50.4,13.3,34.3,Los Angeles
217,06037127400.0,6.558,52.7,5.9,38.0,Los Angeles
218,06037127520.0,4.87,51.7,9.3,24.3,Los Angeles
219,06037127603.0,3.068,49.7,5.9,36.8,Los Angeles
220,06037127604.0,3.157,52.8,14.3,44.5,Los Angeles
221,06037127605.0,4.329,50.7,2.4,21.0,Los Angeles
222,06037127606.0,3.322,42.1,12.2,42.7,Los Angeles
223,06037127711.0,3.588,53.4,9.9,55.5,Los Angeles
224,06037127712.0,3.56,52.9,7.4,49.6,Los Angeles
225,06037127803.0,4.79,49.1,17.6,35.5,Los Angeles
226,06037127804.0,4.352,49.4,7.7,46.1,Los Angeles
227,06037127805.0,3.627,48.8,14.4,37.9,Los Angeles
228,06037127806.0,3.293,55.1,9.3,46.5,Los Angeles
229,06037127910.0,5.097,50.3,10.6,32.3,Los Angeles
230,06037127920.0,4.716,44.2,8.5,55.1,Los Angeles
231,06037128101.0,3.735,44.9,11.3,53.3,Los Angeles
232,06037128102.0,4.625,45.4,6.5,42.2,Los Angeles
233,06037128210.0,5.008,50.4,3.5,37.3,Los Angeles
234,06037128220.0,2.912,51.8,11.6,68.4,Los Angeles
235,06037128302.0,5.0,50.2,8.3,69.7,Los Angeles
236,06037128303.0,4.176,54.4,4.7,69.3,Los Angeles
237,06037128400.0,4.502,48.3,11.0,66.0,Los Angeles
238,06037128500.0,4.108,51.9,14.1,68.6,Los Angeles
239,06037128601.0,4.369,48.0,6.9,53.6,Los Angeles
240,06037128602.0,3.472,51.4,16.4,85.7,Los Angeles
241,06037128702.0,5.81,51.3,17.4,73.6,Los Angeles
242,06037128801.0,3.419,44.0,14.8,62.0,Los Angeles
243,06037128802.0,4.67,47.0,14.3,71.2,Los Angeles
244,06037128910.0,4.657,52.4,11.0,74.8,Los Angeles
245,06037131010.0,6.686,50.0,7.3,48.4,Los Angeles
246,06037131020.0,6.704,50.2,7.8,47.4,Los Angeles
247,06037131100.0,3.197,48.1,15.8,61.3,Los Angeles
248,06037131200.0,3.417,49.7,16.4,67.8,Los Angeles
249,06037131300.0,5.102,51.6,13.2,52.8,Los Angeles
250,06037131400.0,6.367,51.9,14.9,44.5,Los Angeles
251,06037131600.0,5.336,50.5,12.8,48.7,Los Angeles
252,06037131701.0,5.587,47.6,12.6,54.7,Los Angeles
253,06037131702.0,3.77,49.9,11.7,47.7,Los Angeles
254,06037131800.0,6.157,47.8,11.6,47.4,Los Angeles
255,06037131900.0,4.597,52.8,12.5,55.0,Los Angeles
256,06037132001.0,3.463,49.6,11.1,51.1,Los Angeles
257,06037132002.0,3.354,54.4,13.2,60.5,Los Angeles
258,06037132101.0,4.645,46.7,8.9,34.7,Los Angeles
259,06037132102.0,5.401,48.2,14.3,50.2,Los Angeles
260,06037132300.0,7.912,48.0,8.7,53.6,Los Angeles
261,06037132501.0,4.566,42.1,17.9,59.9,Los Angeles
262,06037132502.0,3.922,44.1,15.9,58.7,Los Angeles
263,06037132700.0,4.873,54.8,10.9,53.5,Los Angeles
264,06037132900.0,3.885,47.9,17.1,69.1,Los Angeles
265,06037133000.0,4.778,49.5,14.4,61.0,Los Angeles
266,06037133100.0,5.609,50.5,20.8,69.6,Los Angeles
267,06037134001.0,3.864,53.3,8.7,46.7,Los Angeles
268,06037134002.0,3.665,44.6,13.9,54.5,Los Angeles
269,06037134101.0,5.579,52.6,12.2,36.3,Los Angeles
270,06037134103.0,4.659,47.2,17.6,50.6,Los Angeles
271,06037134104.0,4.618,51.2,11.1,32.5,Los Angeles
272,06037134201.0,4.735,47.9,10.4,45.9,Los Angeles
273,06037134302.0,4.112,48.8,12.8,52.5,Los Angeles
274,06037134303.0,5.942,47.1,16.0,58.8,Los Angeles
275,06037134304.0,3.042,49.4,17.9,46.5,Los Angeles
276,06037134305.0,4.183,54.9,2.6,30.6,Los Angeles
277,06037134306.0,4.305,48.4,12.1,54.1,Los Angeles
278,06037134421.0,4.234,48.8,18.3,83.5,Los Angeles
279,06037134422.0,4.924,47.0,16.4,63.5,Los Angeles
280,06037134423.0,3.539,46.8,24.2,68.6,Los Angeles
281,06037134520.0,6.065,52.7,9.2,46.8,Los Angeles
282,06037134521.0,3.691,54.8,3.7,33.1,Los Angeles
283,06037134522.0,4.167,48.9,7.1,47.8,Los Angeles
284,06037134710.0,5.836,55.8,10.1,30.0,Los Angeles
285,06037134720.0,5.074,52.3,10.0,28.6,Los Angeles
286,06037134800.0,6.399,48.3,12.5,52.0,Los Angeles
287,06037134901.0,3.14,46.1,16.6,73.0,Los Angeles
288,06037134903.0,6.919,50.3,3.2,40.3,Los Angeles
289,06037134904.0,4.043,50.9,10.5,48.7,Los Angeles
290,06037134905.0,4.552,47.5,8.5,65.0,Los Angeles
291,06037135102.0,3.726,46.9,16.5,73.2,Los Angeles
292,06037135111.0,3.313,45.3,11.5,70.5,Los Angeles
293,06037135113.0,3.485,48.0,12.7,58.8,Los Angeles
294,06037135114.0,5.106,44.4,14.1,59.6,Los Angeles
295,06037135201.0,2.788,48.0,17.3,61.7,Los Angeles
296,06037135202.0,4.708,47.9,13.4,68.3,Los Angeles
297,06037137103.0,5.382,46.3,18.0,77.9,Los Angeles
