,Health Measure,City,DF Model,CC Model,Hybrid Model
0,ACCESS2,Austin,-0.16268463935775168,0.5669779602768373,0.6069001790262485
1,ACCESS2,Baltimore,-0.5310270994482564,0.46421110402130217,0.5435653717089077
2,ACCESS2,Boston,-1.1090301967489515,0.3941259051569096,0.5834155492908786
3,ACCESS2,Chicago,0.2694903072089547,0.6612485197792822,0.7181753621266405
4,ACCESS2,Los Angeles,0.4322951443026609,0.5904977169915225,0.6769403749944349
5,ACCESS2,Memphis,0.19041372375419663,0.5639630993913629,0.6855901046980004
6,ACCESS2,New York,0.4800513134927601,0.6261409058656267,0.7270063193591652
7,ACCESS2,Philadelphia,0.23061743080125463,0.5166711594707798,0.6324037987145804
8,ACCESS2,San Diego,-0.09776625177913911,0.6105520622455423,0.5773931520451216
9,ACCESS2,San Francisco,-2.0247125969312663,0.3314541294800991,0.6465302954667744
10,ARTHRITIS,Austin,0.6046202298076333,0.2213988913081948,0.71651207427165
11,ARTHRITIS,Baltimore,-0.06156034059288218,0.38354612835004687,0.6916939385954646
12,ARTHRITIS,Boston,0.6074170578468925,0.3097154209651639,0.7395636249345396
13,ARTHRITIS,Chicago,0.7388955275351876,0.68796440906613,0.8503833481588501
14,ARTHRITIS,Los Angeles,0.41298927773727334,0.27471285477772833,0.5961669008357289
15,ARTHRITIS,Memphis,-0.834775197893582,0.4610592796127061,0.6665924021668861
16,ARTHRITIS,New York,0.13689424464724942,0.33394791928345124,0.6666633323181927
17,ARTHRITIS,Philadelphia,0.09013530049758078,0.33920074937248246,0.6805180216177835
18,ARTHRITIS,San Diego,0.6097343410061311,0.1721784888932899,0.7183263524476671
19,ARTHRITIS,San Francisco,0.07333979097059029,0.15612931103967098,0.6402342543643739
20,BINGE,Austin,0.07414224286593574,0.16153743080618177,0.5136073895264998
21,BINGE,Baltimore,0.7257636947114904,0.474439599618218,0.8221582800365437
22,BINGE,Boston,0.5000154303032789,0.4256396951492145,0.8142896705094871
23,BINGE,Chicago,0.7413275375942953,0.7868803084655542,0.9217835481009024
24,BINGE,Los Angeles,0.24109087155289688,0.2738490743039157,0.6860375060461725
25,BINGE,Memphis,-0.2217860781310812,0.4840118864301044,0.736021703785328
26,BINGE,New York,0.5372940181095105,0.4989751445785736,0.7847404460174523
27,BINGE,Philadelphia,0.5311558693644027,0.5025540578371648,0.8318611941465439
28,BINGE,San Diego,0.4733636358115991,0.28391952840212775,0.6744089657375443
29,BINGE,San Francisco,0.5303096147603414,0.5181875005880052,0.8943161045642644
30,BPHIGH,Austin,0.39582157291214104,0.18404812323402864,0.6296097171104293
31,BPHIGH,Baltimore,0.4886653525486029,0.48605377569013486,0.8235797809920351
32,BPHIGH,Boston,0.6774708149693363,0.36452132977704854,0.8075775129895298
