,TractFIPS,AirQuality,Animals,Building,CodeEnforcement,Construction,Fire,Flooding,Garbage,Graffiti,HazardousMaterials,Homelessness,Household,IllegalDumping,Noise,Parks,Recycling,Rodents,Sewage,SnowRemoval,StormwaterDrainage,StreetConditions,Streetlights,TrafficSignals,Transportation,Trees,UnsanitaryConditions,Water,City,Year,TotalPopulation
13442,36047063200.0,0,6,23,0,0,1,2,19,0,0,1,79,1,17,0,0,2,2,4,0,18,4,9,11,13,8,2,New York,2021,1534.0
13443,36047063200.0,2,8,19,0,0,3,0,8,4,0,13,1,5,23,0,0,0,6,1,0,7,4,9,1,8,5,8,New York,2022,1534.0
13444,36047063600.0,0,0,21,0,0,0,1,9,0,0,5,1,0,23,2,0,2,17,0,0,28,4,0,0,43,15,26,New York,2019,1289.0
13445,36047063600.0,1,0,17,0,0,6,0,8,0,0,7,1,0,58,6,0,6,10,1,0,22,1,12,4,97,11,23,New York,2020,1289.0
13446,36047063600.0,4,2,11,0,0,3,2,17,0,0,0,0,0,21,0,0,7,11,1,0,18,3,0,7,54,10,45,New York,2021,1289.0
13447,36047063600.0,1,5,10,0,0,3,0,6,3,1,0,0,1,14,2,0,0,9,0,0,19,3,0,0,67,3,12,New York,2022,1289.0
13448,36047063800.0,1,2,18,0,1,0,3,14,0,1,6,2,0,13,2,0,1,9,1,0,43,13,8,0,37,19,12,New York,2019,2023.0
13449,36047063800.0,1,0,20,0,0,5,0,14,0,0,6,6,0,52,11,0,0,19,0,0,35,21,5,3,102,5,9,New York,2020,2023.0
13450,36047063800.0,1,2,7,0,0,6,0,32,0,0,5,7,3,52,0,0,0,3,0,0,64,9,7,1,65,11,13,New York,2021,2023.0
13451,36047063800.0,0,2,8,0,0,1,1,18,0,0,2,1,3,67,1,0,2,2,0,0,23,6,3,1,31,7,8,New York,2022,2023.0
13452,36047064000.0,0,2,11,0,0,0,0,7,2,1,0,2,0,30,0,2,4,7,0,0,46,4,2,2,57,12,36,New York,2019,1742.0
13453,36047064000.0,3,5,8,0,0,2,1,15,0,0,1,4,0,21,0,0,0,7,1,0,35,1,0,2,120,12,28,New York,2020,1742.0
13454,36047064000.0,1,12,31,0,0,4,0,35,0,1,0,0,0,36,0,0,3,16,0,0,62,2,3,0,91,5,18,New York,2021,1742.0
13455,36047064000.0,2,6,14,0,0,1,3,11,3,0,1,1,0,32,0,0,4,5,0,0,30,0,3,1,91,2,10,New York,2022,1742.0
13456,36047064200.0,3,0,57,0,0,0,0,4,6,4,2,114,0,97,0,0,6,11,1,0,71,5,1,1,27,54,16,New York,2019,2227.0
13457,36047064200.0,6,1,74,0,0,6,0,32,1,0,1,92,0,135,0,0,6,0,0,0,46,2,4,5,111,56,30,New York,2020,2227.0
13458,36047064200.0,2,2,72,0,0,5,0,29,1,1,2,96,3,84,1,0,13,24,2,0,37,3,7,1,45,60,25,New York,2021,2227.0
13459,36047064200.0,2,3,67,0,0,7,0,26,1,1,1,70,4,68,0,0,6,11,4,0,31,12,15,3,40,34,63,New York,2022,2227.0
13460,36047064400.0,3,0,46,0,4,0,0,17,7,2,0,21,0,41,0,1,7,19,1,0,96,9,5,6,65,55,61,New York,2019,2855.0
13461,36047064400.0,4,1,25,0,0,8,0,26,2,0,1,6,0,106,0,1,3,10,1,0,58,9,8,2,171,46,33,New York,2020,2855.0
13462,36047064400.0,1,2,30,0,0,11,1,37,2,0,0,6,0,70,0,0,11,7,7,0,37,4,0,2,71,41,19,New York,2021,2855.0
13463,36047064400.0,0,11,25,0,0,6,0,29,1,1,0,4,6,36,0,0,4,8,3,0,40,6,8,2,65,11,33,New York,2022,2855.0
13464,36047064600.0,2,6,34,0,0,0,0,21,2,1,1,3,0,18,0,0,2,7,3,0,44,1,0,2,31,21,21,New York,2019,2190.0
13465,36047064600.0,0,0,22,0,0,4,0,28,0,0,1,0,0,51,0,0,3,12,1,0,32,0,0,0,148,17,22,New York,2020,2190.0
13466,36047064600.0,0,0,29,0,0,6,0,48,0,0,1,0,0,34,0,1,2,11,3,0,49,1,1,1,63,26,28,New York,2021,2190.0
13467,36047064600.0,2,3,32,0,0,1,1,30,3,0,0,8,8,147,0,0,4,10,1,0,43,8,9,1,80,17,9,New York,2022,2190.0
13468,36047064800.0,2,1,22,0,2,0,0,22,0,3,1,5,0,16,0,0,0,21,0,0,43,1,0,0,69,17,14,New York,2019,2194.0
13469,36047064800.0,0,9,8,0,1,2,0,29,0,0,1,11,0,33,0,1,3,12,6,0,37,6,0,0,102,18,27,New York,2020,2194.0
13470,36047064800.0,1,10,18,0,0,3,2,33,2,3,0,13,0,32,0,0,4,15,4,0,50,0,0,1,30,22,47,New York,2021,2194.0
13471,36047064800.0,0,6,5,0,0,2,3,22,0,0,0,3,1,33,0,0,4,6,0,0,21,0,0,0,55,5,46,New York,2022,2194.0
13472,36047065000.0,0,3,26,0,2,0,0,44,10,2,1,10,0,28,0,0,7,5,0,0,40,13,18,2,45,46,15,New York,2019,1642.0
13473,36047065000.0,9,1,14,0,1,9,0,31,3,3,2,4,0,58,1,1,3,25,0,0,46,12,28,4,49,41,16,New York,2020,1642.0
13474,36047065000.0,6,3,50,0,2,1,0,45,2,0,3,4,2,40,0,0,4,8,2,1,55,8,20,3,29,55,19,New York,2021,1642.0
13475,36047065000.0,1,11,25,0,0,0,0,29,0,2,0,15,3,43,0,0,8,9,0,0,26,2,40,5,30,14,11,New York,2022,1642.0
13476,36047065200.0,2,2,16,0,0,0,0,7,6,0,5,7,0,77,1,1,2,5,0,0,53,21,15,3,93,14,3,New York,2019,1094.0
13477,36047065200.0,0,0,45,0,0,6,2,13,1,2,2,0,0,137,0,0,2,13,2,0,63,12,10,5,138,15,13,New York,2020,1094.0
13478,36047065200.0,6,6,21,0,0,8,1,24,1,0,2,1,0,103,0,0,1,11,2,1,38,12,26,1,40,17,19,New York,2021,1094.0
13479,36047065200.0,2,11,7,0,0,0,1,6,0,3,2,1,5,53,0,0,9,9,4,0,28,9,14,2,39,5,25,New York,2022,1094.0
13480,36047065400.0,0,0,23,0,2,0,2,16,1,1,0,0,0,10,0,0,2,9,0,0,49,3,0,0,68,12,20,New York,2019,1437.0
13481,36047065400.0,0,0,8,0,0,4,0,12,0,0,0,1,0,25,0,0,0,10,2,0,17,5,0,1,137,10,17,New York,2020,1437.0
13482,36047065400.0,1,3,35,0,0,5,0,22,0,0,0,0,0,58,0,1,13,9,2,0,23,1,0,1,37,13,13,New York,2021,1437.0
13483,36047065400.0,0,5,24,0,0,3,0,1,3,2,0,1,1,46,0,0,4,8,0,0,29,5,0,3,58,4,37,New York,2022,1437.0
13484,36047065600.0,1,3,26,0,0,2,0,18,1,1,0,2,0,93,1,1,2,13,1,0,38,2,3,1,54,16,17,New York,2019,1725.0
13485,36047065600.0,3,1,34,0,2,12,1,12,0,9,0,0,0,43,0,0,0,25,1,0,49,1,2,1,112,7,61,New York,2020,1725.0
13486,36047065600.0,2,5,15,0,0,7,0,27,0,0,0,1,1,46,0,1,4,12,4,0,38,1,4,1,49,22,20,New York,2021,1725.0
13487,36047065600.0,5,7,23,0,0,8,1,11,7,1,0,0,0,28,0,0,6,13,1,0,27,8,6,1,109,6,39,New York,2022,1725.0
13488,36047065800.0,2,4,38,0,1,0,1,9,0,0,2,2,0,39,6,0,2,19,0,0,68,0,0,2,49,16,13,New York,2019,1798.0
13489,36047065800.0,0,2,25,0,0,4,0,4,0,0,7,1,0,21,15,0,1,20,0,0,28,0,0,1,145,23,8,New York,2020,1798.0
13490,36047065800.0,1,6,46,0,0,2,0,20,0,0,4,0,1,36,1,0,4,13,1,0,29,1,1,4,57,19,42,New York,2021,1798.0
13491,36047065800.0,2,4,42,0,0,0,0,4,0,0,1,6,3,33,1,0,1,6,1,0,25,0,2,4,166,16,22,New York,2022,1798.0
13492,36047066000.0,0,1,16,0,0,0,0,10,0,0,2,2,0,30,0,0,12,21,0,0,64,5,0,0,70,13,9,New York,2019,2050.0
13493,36047066000.0,0,1,5,0,1,16,1,5,0,0,1,1,0,16,1,0,1,15,0,0,37,3,1,0,111,7,14,New York,2020,2050.0
13494,36047066000.0,0,7,17,0,1,4,0,26,0,1,1,1,1,15,0,0,0,8,2,0,25,2,0,1,35,5,3,New York,2021,2050.0
13495,36047066000.0,1,11,21,0,0,4,0,15,0,0,1,7,2,55,1,0,0,9,0,0,28,9,5,0,41,7,13,New York,2022,2050.0
